CloneGroupType,X2,EachGroup_25Percentile,CloneGroupMax,CloneGroupMin,EachGroup_Mean,EachGroup_Median,CloneGroupVariance,EachGroup_SD,X10,ShanonEntropy,NorShanonEntropy,X13,X14
2219,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
2220,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
2221,Functions,2.00,2.00,2.00,2.00,2.00,0.00,0,2,-0,1,NA,NA
2222,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
2223,Functions,1.25,2.00,1.00,1.50,1.50,0.50,0.7071068,2,1,0.9182958340544896,NA,NA
2224,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
2225,Functions,1.00,2.00,1.00,1.33,1.00,0.33,0.5773503,3,0.9182958340544896,0.9463946303571862,NA,NA
2226,Functions,0.75,2.00,0.00,1.00,1.00,0.67,0.8164966,4,1.5,NaN,NA,NA
2227,Functions,0.00,3.00,0.00,1.00,0.00,3.00,1.732051,3,0.9182958340544896,NaN,NA,NA
2228,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,6,-0,NaN,NA,NA
2229,Functions,1.25,2.00,1.00,1.50,1.50,0.50,0.7071068,2,1,0.9182958340544896,NA,NA
2230,Functions,1.50,3.00,1.00,2.00,2.00,2.00,1.414214,2,1,0.8112781244591328,NA,NA
2231,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
2232,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
2233,Functions,3.00,9.00,1.00,5.00,5.00,32.00,5.656854,2,1,0.4689955935892812,NA,NA
2234,Functions,2.00,2.00,2.00,2.00,2.00,0.00,0,2,-0,1,NA,NA
2235,Functions,6.00,21.00,1.00,11.00,11.00,200.00,14.14214,2,1,0.26676498780302604,NA,NA
2236,Functions,6.00,21.00,1.00,11.00,11.00,200.00,14.14214,2,1,0.26676498780302604,NA,NA
2237,Functions,6.00,21.00,1.00,11.00,11.00,200.00,14.14214,2,1,0.26676498780302604,NA,NA
2238,Functions,2.00,2.00,2.00,2.00,2.00,0.00,0,2,-0,1,NA,NA
2239,Functions,2.00,2.00,2.00,2.00,2.00,0.00,0,2,-0,1,NA,NA
2240,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
2241,Functions,2.00,8.00,0.00,4.00,4.00,32.00,5.656854,2,1,NaN,NA,NA
2242,Functions,1.50,2.00,1.00,1.67,2.00,0.33,0.5773503,3,0.9182958340544896,0.9602297178607612,NA,NA
2243,Functions,0.50,2.00,0.00,1.00,1.00,2.00,1.414214,2,1,NaN,NA,NA
2244,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
2245,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
2246,Functions,0.50,2.00,0.00,1.00,1.00,2.00,1.414214,2,1,NaN,NA,NA
2247,Functions,2.25,3.00,2.00,2.50,2.50,0.50,0.7071068,2,1,0.9709505944546686,NA,NA
2248,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
2249,Functions,0.50,2.00,0.00,1.00,1.00,2.00,1.414214,2,1,NaN,NA,NA
2250,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
2251,Functions,2.00,2.00,2.00,2.00,2.00,0.00,0,2,-0,1,NA,NA
2252,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,5,-0,NaN,NA,NA
2253,Functions,0.75,3.00,0.00,1.50,1.50,4.50,2.12132,2,1,NaN,NA,NA
2254,Functions,0.00,2.00,0.00,0.67,0.00,1.33,1.154701,3,0.9182958340544896,NaN,NA,NA
2255,Functions,1.00,4.00,0.00,2.00,2.00,8.00,2.828427,2,1,NaN,NA,NA
2256,Functions,0.50,2.00,0.00,1.00,1.00,2.00,1.414214,2,1,NaN,NA,NA
2257,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
2258,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
2259,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
2260,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
2261,Functions,0.75,3.00,0.00,1.50,1.50,4.50,2.12132,2,1,NaN,NA,NA
2262,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
2263,Functions,0.75,1.00,0.00,0.75,1.00,0.25,0.5,4,0.8112781244591328,NaN,NA,NA
2264,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
2265,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
2266,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
2267,Functions,0.25,1.00,0.00,0.50,0.50,0.50,0.7071068,2,1,NaN,NA,NA
2268,Functions,3.50,5.00,3.00,4.00,4.00,2.00,1.414214,2,1,0.954434002924965,NA,NA
2269,Functions,10.25,29.00,4.00,16.50,16.50,312.50,17.67767,2,1,0.5328350630342233,NA,NA
2270,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,3,-0,NaN,NA,NA
2271,Functions,0.00,0.00,0.00,0.00,0.00,0.00,0,2,-0,NaN,NA,NA
2272,Functions,1.50,3.00,1.00,2.00,2.00,2.00,1.414214,2,1,0.8112781244591328,NA,NA
2273,Functions,3.00,3.00,3.00,3.00,3.00,0.00,0,2,-0,1,NA,NA
2274,Functions,1.25,5.00,0.00,2.50,2.50,12.50,3.535534,2,1,NaN,NA,NA
2275,Functions,2.50,4.00,2.00,3.00,3.00,2.00,1.414214,2,1,0.9182958340544896,NA,NA
2276,Functions,1.25,2.00,1.00,1.50,1.50,0.50,0.7071068,2,1,0.9182958340544896,NA,NA
2277,Functions,1.00,1.00,1.00,1.00,1.00,0.00,0,2,-0,1,NA,NA
2278,Functions,0.50,2.00,0.00,1.00,1.00,2.00,1.414214,2,1,NaN,NA,NA
2279,Functions,1.50,3.00,1.00,2.00,2.00,2.00,1.414214,2,1,0.8112781244591328,NA,NA
