X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
1835,Blocks,0,0,0,0,0,0,0,4
1836,Blocks,1,1,1,1,1,0,0,2
1837,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2
1838,Blocks,1,1,1,1,1,0,0,2
1839,Blocks,1,1,1,1,1,0,0,2
1840,Blocks,1,1,1,1,1,0,0,2
1841,Blocks,1,1,1,1,1,0,0,2
1842,Blocks,2,2,2,2,2,0,0,2
1843,Blocks,2,2,2,2,2,0,0,2
1844,Blocks,1,1,1,1,1,0,0,2
1845,Blocks,0,0,0,0,0,0,0,2
1846,Blocks,1,1,1,1,1,0,0,2
1847,Blocks,0,0,0,0,0,0,0,2
1848,Blocks,0,0,0,0,0,0,0,2
1849,Blocks,3.25,3,4,3.5,3.5,0.5,0.7071068,2
1850,Blocks,0,0,0,0,0,0,0,2
1851,Blocks,0,0,0,0,0,0,0,2
1852,Blocks,0,0,0,0,0,0,0,2
1853,Blocks,-1,-1,-1,-1,-1,0,0,2
1854,Blocks,1,1,1,1,1,0,0,2
1855,Blocks,2,2,2,2,2,0,0,2
1856,Blocks,-4,-4,-4,-4,-4,0,0,2
1857,Blocks,0,0,0,0,0,0,0,2
1858,Blocks,3,3,3,3,3,0,0,2
1859,Blocks,1,1,1,1,1,0,0,2
1860,Blocks,0,0,0,0,0,0,0,2
1861,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2
1862,Blocks,5,5,5,5,5,0,0,2
1863,Blocks,0,0,0,0,0,0,0,5
1864,Blocks,-3,-3,-3,-3,-3,0,0,2
1865,Blocks,1,1,1,1,1,0,0,2
1866,Blocks,0,0,0,0,0,0,0,3
1867,Blocks,0,0,0,0,0,0,0,2
1868,Blocks,0,0,0,0,0,0,0,2
1869,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2
1870,Blocks,9,9,9,9,9,0,0,2
1871,Blocks,9,9,9,9,9,0,0,4
1872,Blocks,-1,-1,-1,-1,-1,0,0,2
1873,Blocks,-1,-2,2,0,0,8,2.828427,2
1874,Blocks,3,3,3,3,3,0,0,2
1875,Blocks,0,0,0,0,0,0,0,2
1876,Blocks,0,0,0,0,0,0,0,2
1877,Blocks,0,0,0,0,0,0,0,2
1878,Blocks,1,1,1,1,1,0,0,2
1879,Blocks,0,0,0,0,0,0,0,2
1880,Blocks,0,0,0,0,0,0,0,3
1881,Blocks,-1,-1,-1,-1,-1,0,0,2
1882,Blocks,-0.75,-1,0,-0.5,-0.5,0.5,0.7071068,2
1883,Blocks,0,0,0,0,0,0,0,2
1884,Blocks,0,0,0,0,0,0,0,2
1885,Blocks,3,3,3,3,3,0,0,2
1886,Blocks,1,1,1,1,1,0,0,2
1887,Blocks,0,0,0,0,0,0,0,2
1888,Blocks,0,0,2,0.6666667,0,1.333333,1.154701,3
1889,Blocks,1,1,1,1,1,0,0,2
1890,Blocks,-3.25,-4,-1,-2.5,-2.5,4.5,2.12132,2
1891,Blocks,1.5,0,7,3.333333,3,12.33333,3.511885,3
1892,Blocks,1,1,1,1,1,0,0,2
1893,Blocks,2,2,2,2,2,0,0,4
1894,Blocks,-1,-1,-1,-1,-1,0,0,2
1895,Blocks,0.5,0,2,1,1,2,1.414214,2
1896,Blocks,0,0,0,0,0,0,0,2
1897,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2
1898,Blocks,0,0,0,0,0,0,0,2
1899,Blocks,0,0,0,0,0,0,0,2
1900,Blocks,1,1,1,1,1,0,0,2
1901,Blocks,0,0,0,0,0,0,0,2
1902,Blocks,0,0,0,0,0,0,0,2
1903,Blocks,0.5,0,2,1,1,2,1.414214,2
1904,Blocks,-4,-4,-4,-4,-4,0,0,2
1905,Blocks,0.5,0,1,0.6666667,1,0.3333333,0.5773503,3
1906,Blocks,1,1,1,1,1,0,0,2
1907,Blocks,0,0,0,0,0,0,0,2
1908,Blocks,0.5,0,2,1,1,2,1.414214,2
1909,Blocks,0,0,0,0,0,0,0,2
1910,Blocks,0.5,0,2,1,1,2,1.414214,2
1911,Blocks,0,0,0,0,0,0,0,2
1912,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2
1913,Blocks,0,0,0,0,0,0,0,2
1914,Blocks,0,0,0,0,0,0,0,2
1915,Blocks,0.75,0,3,1.5,1.5,4.5,2.12132,2
1916,Blocks,0,0,0,0,0,0,0,2
1917,Blocks,1,1,1,1,1,0,0,2
1918,Blocks,6,6,6,6,6,0,0,2
1919,Blocks,1,0,4,2,2,8,2.828427,2
1920,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2
1921,Blocks,9.25,7,16,11.5,11.5,40.5,6.363961,2
1922,Blocks,0,0,1,0.25,0,0.2142857,0.46291,8
1923,Blocks,1,1,1,1,1,0,0,2
1924,Blocks,0,0,0,0,0,0,0,2
1925,Blocks,0,0,0,0,0,0,0,2
1926,Blocks,0,0,0,0,0,0,0,2
1927,Blocks,1.75,0,7,3.5,3.5,24.5,4.949747,2
1928,Blocks,6.5,4,14,9,9,50,7.071068,2
1929,Blocks,4,2,10,6,6,32,5.656854,2
1930,Blocks,3,3,3,3,3,0,0,2
1931,Blocks,22.75,14,49,31.5,31.5,612.5,24.74874,2
1932,Blocks,0,0,0,0,0,0,0,2
1933,Blocks,0,0,0,0,0,0,0,2
1934,Blocks,0,0,0,0,0,0,0,2
1935,Blocks,3.25,3,4,3.5,3.5,0.5,0.7071068,2
1936,Blocks,3,3,3,3,3,0,0,2
1937,Blocks,0,0,0,0,0,0,0,2
1938,Blocks,0,0,0,0,0,0,0,2
1939,Blocks,0,0,0,0,0,0,0,2
1940,Blocks,3,3,3,3,3,0,0,2
1941,Blocks,6.5,2,20,11,11,162,12.72792,2
1942,Blocks,0.5,0,1,0.6666667,1,0.3333333,0.5773503,3
1943,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2
1944,Blocks,0.5,0,2,1,1,2,1.414214,2
1945,Blocks,1,1,1,1,1,0,0,2
1946,Blocks,0,0,0,0,0,0,0,2
1947,Blocks,0,-2,1,-0.125,0,0.6964286,0.834523,8
1948,Blocks,3,3,3,3,3,0,0,2
1949,Blocks,-1,-3,1,-0.3333333,1,5.333333,2.309401,3
1950,Blocks,1.5,0,17,6.666667,3,82.33333,9.073772,3
1951,Blocks,2,2,2,2,2,0,0,2
1952,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2
1953,Blocks,2,2,2,2,2,0,0,2
1954,Blocks,0,0,0,0,0,0,0,2
1955,Blocks,0,0,0,0,0,0,0,2
1956,Blocks,0,0,0,0,0,0,0,2
1957,Blocks,0,0,0,0,0,0,0,2
1958,Blocks,-2,-2,-2,-2,-2,0,0,2
1959,Blocks,5,5,5,5,5,0,0,2
1960,Blocks,0,0,0,0,0,0,0,2
1961,Blocks,1,1,1,1,1,0,0,2
1962,Blocks,1.5,1,3,2,2,2,1.414214,2
1963,Blocks,1,1,1,1,1,0,0,2
1964,Blocks,1,0,4,2,2,8,2.828427,2
1965,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2
1966,Blocks,-0.5,-1,3,0.6666667,0,4.333333,2.081666,3
1967,Blocks,0,0,0,0,0,0,0,2
1968,Blocks,2,2,2,2,2,0,0,2
1969,Blocks,0.75,0,3,1.5,1.5,4.5,2.12132,2
1970,Blocks,6,6,6,6,6,0,0,2
1971,Blocks,1,1,1,1,1,0,0,2
1972,Blocks,2,2,2,2,2,0,0,2
1973,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2
1974,Blocks,2,1,5,3,3,8,2.828427,2
1975,Blocks,8,8,8,8,8,0,0,2
1976,Blocks,2,2,2,2,2,0,0,2
1977,Blocks,-3,-4,0,-2,-2,8,2.828427,2
1978,Blocks,0,0,0,0,0,0,0,2
1979,Blocks,1,1,1,1,1,0,0,2
1980,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2
1981,Blocks,0,0,0,0,0,0,0,2
1982,Blocks,1,1,1,1,1,0,0,2
1983,Blocks,0,0,0,0,0,0,0,2
1984,Blocks,0,0,0,0,0,0,0,2
1985,Blocks,0,0,0,0,0,0,0,2
1986,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2
1987,Blocks,-3.75,-6,3,-1.5,-1.5,40.5,6.363961,2
1988,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2
1989,Blocks,1.5,1,3,2,2,2,1.414214,2
1990,Blocks,1,1,1,1,1,0,0,2
1991,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2
1992,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2
1993,Blocks,0,0,1,0.3333333,0,0.3333333,0.5773503,3
1994,Blocks,11,11,11,11,11,0,0,2
1995,Blocks,0,0,0,0,0,0,0,2
1996,Blocks,2.25,0,9,4.5,4.5,40.5,6.363961,2
1997,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2
1998,Blocks,1,1,1,1,1,0,0,2
1999,Blocks,0,0,0,0,0,0,0,2
2000,Blocks,0.5,0,3,1.333333,1,2.333333,1.527525,3
2001,Blocks,0,0,0,0,0,0,0,2
2002,Blocks,1.5,1,3,2,2,2,1.414214,2
2003,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2
2004,Blocks,-2,-2,0,-1.142857,-2,1.028571,1.014185,21
2005,Blocks,0,0,0,0,0,0,0,8
2006,Blocks,0,0,0,0,0,0,0,2
2007,Blocks,0,0,0,0,0,0,0,2
2008,Blocks,0,0,0,0,0,0,0,2
2009,Blocks,0,0,0,0,0,0,0,2
2010,Blocks,0,0,0,0,0,0,0,2
2011,Blocks,0,0,0,0,0,0,0,2
2012,Blocks,0,0,0,0,0,0,0,2
2013,Blocks,0,0,0,0,0,0,0,2
2014,Blocks,1,1,1,1,1,0,0,2
2015,Blocks,0.5,0,2,1,1,2,1.414214,2
2016,Blocks,0,0,0,0,0,0,0,2
2017,Blocks,0,0,0,0,0,0,0,2
2018,Blocks,2,2,2,2,2,0,0,2
2019,Blocks,0,0,0,0,0,0,0,2
2020,Blocks,1,1,1,1,1,0,0,2
2021,Blocks,1,1,1,1,1,0,0,2
2022,Blocks,8,8,8,8,8,0,0,2
2023,Blocks,0,0,0,0,0,0,0,2
2024,Blocks,0,0,0,0,0,0,0,3
2025,Blocks,0,0,0,0,0,0,0,2
2026,Blocks,0,0,0,0,0,0,0,2
2027,Blocks,-1,-1,-1,-1,-1,0,0,2
2028,Blocks,-6,-6,-6,-6,-6,0,0,2
2029,Blocks,2,2,2,2,2,0,0,2
2030,Blocks,8,8,8,8,8,0,0,2
2031,Blocks,0,0,0,0,0,0,0,2
2032,Blocks,0,0,0,0,0,0,0,2
2033,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2
2034,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2
2035,Blocks,0.75,0,3,1.5,1.5,4.5,2.12132,2
2036,Blocks,1,1,1,1,1,0,0,2
2037,Blocks,4,4,4,4,4,0,0,2
2038,Blocks,3,3,3,3,3,0,0,2
2039,Blocks,0,0,0,0,0,0,0,2
2040,Blocks,2,2,2,2,2,0,0,3
2041,Blocks,1,1,1,1,1,0,0,2
2042,Blocks,0,0,0,0,0,0,0,2
2043,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2
2044,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2
2045,Blocks,1,1,1,1,1,0,0,2
2046,Blocks,1,1,1,1,1,0,0,2
2047,Blocks,0,0,0,0,0,0,0,2
2048,Blocks,3.25,1,10,5.5,5.5,40.5,6.363961,2
2049,Blocks,1,1,1,1,1,0,0,2
2050,Blocks,1,1,1,1,1,0,0,2
2051,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2
2052,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2
2053,Blocks,2,2,2,2,2,0,0,3
