PostId,ClassType,NoOfLines,Similarity,CodeChar
32024490,1,11,70,271
48201935,1,11,70,376
933483,1,11,70,759
22774816,1,11,70,415
50121774,1,11,70,218
16382193,1,11,70,162
24513243,1,11,70,473
36043213,1,11,70,411
13627257,1,11,70,200
21365686,1,11,70,243
51358612,1,11,70,352
45855940,1,11,70,553
15041091,1,11,70,367
16657479,1,11,70,399
44397647,1,11,70,367
49842248,1,11,70,410
6054561,1,11,70,284
29677085,1,11,70,326
21143996,1,11,70,277
17063151,1,11,70,272
34271503,1,11,70,401
53745339,1,11,70,368
14610522,1,11,70,360
16146786,1,11,70,311
34283684,1,11,70,254
10599999,1,11,70,282
25960752,1,11,70,400
4909133,1,11,70,153
22914536,1,11,70,525
6497006,1,11,70,370
35650627,1,11,70,392
39913371,1,11,70,414
27772217,1,11,70,324
27914108,1,11,70,366
30866232,1,11,70,183
10739619,1,11,70,300
10739619,1,11,70,323
10739619,1,11,70,325
29401545,1,11,70,193
10739619,1,11,70,325
10739619,1,11,70,307
10739619,1,11,70,309
38438057,1,11,70,442
8375457,1,11,70,335
10729954,1,11,70,236
16717514,1,11,70,331
23616564,1,11,70,414
41321239,1,11,70,371
31350745,1,11,70,154
17097806,1,11,70,683
49180764,1,11,70,378
29640609,1,11,70,315
16372663,1,11,70,293
25092903,1,11,70,287
33586757,1,11,70,307
11104149,1,11,70,601
36927429,1,11,70,247
23315562,1,11,70,339
11570314,1,11,70,342
33478353,1,11,70,750
18742733,1,11,70,455
20623106,1,11,70,438
21072118,1,11,70,334
15229362,1,11,70,483
31094329,1,11,70,360
4673289,1,11,70,411
12683867,1,11,70,337
11224886,1,11,70,198
32856383,1,11,70,258
53858442,1,11,70,272
53858442,1,11,70,243
22914536,1,11,70,402
9258161,1,11,70,287
12679706,1,11,70,241
3428396,1,11,70,341
6039994,1,11,70,473
14294085,1,11,70,299
10527815,1,11,70,288
26569834,1,11,70,300
41420950,1,11,70,483
6196110,1,11,70,283
1570589,1,11,70,169
38737820,1,11,70,330
6206472,1,11,70,281
6206472,1,11,70,319
44018194,1,11,70,478
8090449,1,11,70,420
31686227,1,11,70,237
18106752,1,11,70,377
6206472,1,11,70,344
31307869,1,11,70,434
42421806,1,11,70,593
14422757,1,11,70,537
46594214,1,11,70,339
11922771,1,11,70,561
31321196,1,11,70,279
43703021,1,11,70,388
11544912,1,11,70,284
31359694,1,11,70,251
26426593,1,11,70,96
17505680,1,11,70,313
1248089,1,11,70,173
47241793,1,11,70,256
32523162,1,11,70,560
38106111,1,11,70,282
4075572,1,11,70,236
4857317,1,11,70,315
6279102,1,11,70,450
5570641,1,11,70,350
6217173,1,11,70,519
25357043,1,11,70,553
11046200,1,11,70,505
25334793,1,11,70,282
20380869,1,11,70,215
49516463,1,11,70,333
21039429,1,11,70,409
36546060,1,11,70,458
15762030,1,11,70,237
7052391,1,11,70,260
5217598,1,11,70,447
50946488,1,11,70,242
2790144,1,11,70,435
33209764,1,11,70,320
34965226,1,11,70,523
33209764,1,11,70,365
30260530,1,11,70,685
30805400,1,11,70,494
6777478,1,11,70,520
9495680,1,11,70,272
382357,1,11,70,361
35187909,1,11,70,289
49810080,1,11,70,346
14324460,1,11,70,396
14609083,1,11,70,420
36214257,1,11,70,397
11157664,1,11,70,446
10210437,1,11,70,439
8280835,1,11,70,374
12451647,1,11,70,419
4503458,1,11,70,380
27474565,1,11,70,364
49465617,1,11,70,403
29126758,1,11,70,511
23718835,1,11,70,480
9537910,1,11,70,365
22972306,1,11,70,431
38508966,1,11,70,540
38508966,1,11,70,529
39813980,1,11,70,337
30959112,1,11,70,207
21914497,1,11,70,254
6297551,1,11,70,260
39813980,1,11,70,337
14517903,1,11,70,363
18976990,1,11,70,345
12206998,1,11,70,383
12180557,1,11,70,286
10954975,1,11,70,234
52832144,1,11,70,415
52832144,1,11,70,427
30659735,1,11,70,506
12947661,1,11,70,619
34954601,1,11,70,434
26979309,1,11,70,453
12947661,1,11,70,559
20897456,1,11,70,452
6415604,1,11,70,378
23683801,1,11,70,371
40166880,1,11,70,448
17865256,1,11,70,314
31827192,1,11,70,411
18898974,1,11,70,306
15594071,1,11,70,386
557844,1,11,70,254
50077611,1,11,70,641
11386439,1,11,70,251
10739619,1,11,70,351
27803465,1,11,70,253
46273109,1,11,70,515
30129827,1,11,70,330
10033345,1,11,70,383
10739619,1,11,70,292
40991083,1,11,70,236
39051753,1,11,70,327
18508693,1,11,70,274
53339604,1,11,70,322
42042687,1,11,70,436
28924995,1,11,70,479
27299163,1,11,70,303
10458752,1,11,70,510
12283384,1,11,70,252
28922396,1,11,70,258
47610830,1,11,70,308
23921020,1,11,70,583
26921737,1,11,70,266
15944803,1,11,70,311
17071883,1,11,70,231
28872567,1,11,70,300
35764847,1,11,70,212
27756617,1,11,70,354
24098977,1,11,70,345
27386421,1,11,70,641
46083649,1,11,70,301
9594341,1,11,70,344
29598103,1,11,70,296
12629895,1,11,70,272
1574089,1,11,70,237
17241344,1,11,70,281
873696,1,11,70,301
20503114,1,11,70,194
31478528,1,11,70,247
20805029,1,11,70,340
24736011,1,11,70,287
29727838,1,11,70,136
16512944,1,11,70,213
13903439,1,11,70,354
36247651,1,11,70,255
45304215,1,11,70,311
38081870,1,11,70,318
40838174,1,11,70,270
3236070,1,11,70,361
33242649,1,11,70,204
45001060,1,11,70,334
46299746,1,11,70,469
7117177,1,11,70,328
36874805,1,11,70,339
1339870,1,11,70,737
4977893,1,11,70,312
19374876,1,11,70,251
27077268,1,11,70,190
11736027,1,11,70,475
20916793,1,11,70,549
4951551,1,11,70,350
10907545,1,11,70,218
27077268,1,11,70,220
50855338,1,11,70,355
33646902,1,11,70,168
29675365,1,11,70,349
42158553,1,11,70,540
6223456,1,11,70,219
19439828,1,11,70,232
30546695,1,11,70,246
20360129,1,11,70,283
31530354,1,11,70,304
9933403,1,11,70,240
21541991,1,11,70,345
25714931,1,11,70,296
43606011,1,11,70,396
29367571,1,11,70,246
34834220,1,11,70,232
17740858,1,11,70,583
29737212,1,11,70,394
27434943,1,11,70,229
273641,1,11,70,222
27434943,1,11,70,216
29947380,1,11,70,228
42448369,1,11,70,150
17640587,1,11,70,388
53286578,1,11,70,272
8705912,1,11,70,249
24539675,1,11,70,302
45758528,1,11,70,386
11878926,1,11,70,402
46035660,1,11,70,386
12438687,1,11,70,320
20465456,1,11,70,331
26539021,1,11,70,319
6298235,1,11,70,252
16651465,1,11,70,346
4812398,1,11,70,132
32940625,1,11,70,319
7503217,1,11,70,281
41872892,1,11,70,238
31997666,1,11,70,375
33168352,1,11,70,508
15408376,1,11,70,166
23853705,1,11,70,317
17069569,1,11,70,439
17069569,1,11,70,435
23853705,1,11,70,386
30719787,1,11,70,370
8408120,1,11,70,335
7205999,1,11,70,282
25562784,1,11,70,595
23581996,1,11,70,355
29947380,1,11,70,256
3635396,1,11,70,512
13172434,1,11,70,342
25100813,1,11,70,555
46361166,1,11,70,707
46176468,1,11,70,442
36043213,1,11,70,610
47616255,1,11,70,434
15041091,1,11,70,536
9290487,1,11,70,468
5822798,1,11,70,318
23691203,1,11,70,591
18549704,1,11,70,283
27134058,1,11,70,424
39570093,1,11,70,261
4198289,1,11,70,288
22113310,1,11,70,278
25960752,1,11,70,419
8854939,1,11,70,816
4238749,1,11,70,376
4238749,1,11,70,386
10739619,1,11,70,424
10739619,1,11,70,496
10739619,1,11,70,442
47985260,1,11,70,367
7886462,1,11,70,159
